Step,Infected,Susceptible,Total,Scenario
0,3,55,120,combined
1,3,55,120,combined
2,3,55,120,combined
3,3,55,120,combined
4,4,54,120,combined
5,4,54,120,combined
6,4,54,120,combined
7,5,53,120,combined
8,6,52,120,combined
9,8,50,120,combined
10,9,49,120,combined
11,11,47,120,combined
12,11,47,120,combined
13,11,47,120,combined
14,13,45,120,combined
15,13,45,120,combined
16,13,45,120,combined
17,13,45,120,combined
18,13,45,120,combined
19,13,45,120,combined
20,13,45,120,combined
21,14,44,120,combined
22,16,42,120,combined
23,19,39,120,combined
24,20,38,120,combined
25,23,35,120,combined
26,23,35,120,combined
27,24,34,120,combined
28,25,33,120,combined
29,26,32,120,combined
30,27,31,120,combined
31,27,31,120,combined
32,30,28,120,combined
33,30,28,120,combined
34,31,27,120,combined
35,31,27,120,combined
36,34,24,120,combined
37,35,23,120,combined
38,36,22,120,combined
39,38,20,120,combined
40,38,20,120,combined
41,39,19,120,combined
42,39,19,120,combined
43,41,17,120,combined
44,41,17,120,combined
45,41,17,120,combined
46,41,17,120,combined
47,42,16,120,combined
48,43,15,120,combined
49,46,12,120,combined
50,46,12,120,combined
51,46,12,120,combined
52,46,12,120,combined
53,47,11,120,combined
54,48,10,120,combined
55,51,7,120,combined
56,52,6,120,combined
57,53,5,120,combined
58,53,5,120,combined
59,53,5,120,combined
60,53,5,120,combined
61,54,4,120,combined
62,54,4,120,combined
63,54,4,120,combined
64,54,4,120,combined
65,54,4,120,combined
66,54,4,120,combined
67,54,4,120,combined
68,54,4,120,combined
69,54,4,120,combined
70,54,4,120,combined
71,54,4,120,combined
72,56,2,120,combined
73,56,2,120,combined
74,56,2,120,combined
75,56,2,120,combined
76,56,2,120,combined
77,56,2,120,combined
78,56,2,120,combined
79,56,2,120,combined
80,56,2,120,combined
81,56,2,120,combined
82,56,2,120,combined
83,56,2,120,combined
84,56,2,120,combined
85,57,1,120,combined
86,57,1,120,combined
87,57,1,120,combined
88,57,1,120,combined
89,57,1,120,combined
90,57,1,120,combined
91,57,1,120,combined
